"adm1","adm2","cm_rdt_kit_quantity","cm_act_packs_quantity","cm_iv_artesunate_quantity","cm_ras_quantity"
"Ogun","Obafemi Owode",117666.122047576,107693.803931567,10432.8546850083,834.655948088235
"Ogun","Odeda",54821.8581572998,50175.6524377447,4860.7744503213,388.874802704373
"Ogun","Odogbolu",62898.3239027029,57567.6298676949,5576.87346016347,446.164616090132
"Ogun","Ogun Waterside",37152.2429845247,34003.5543108625,3294.09982699136,263.536692229177
"Ogun","Remo North",29909.2024306987,27374.3684781151,2651.89637657821,212.15871889841
"Ogun","Shagamu",128084.687775795,117229.386096239,11356.6157504471,908.55927475766
"Ogun","Yewa North",92024.1567088862,84225.0200577485,8159.31244905014,652.766560402319
"Ogun","Yewa South",84261.5393689599,77120.2920761143,7471.04077600196,597.703007505737
"Ondo","Akoko North East",72224.7564807071,70606.4547170773,6839.99383227058,547.178807553557
"Ondo","Akoko North West",85442.3563380719,83527.8948336219,8091.75715979313,647.316085698688
"Ondo","Akoko South East",33247.8591926995,32502.8920679874,3148.71469140935,251.887646746577
"Ondo","Akoko South West",92102.9781304209,90039.2756105815,8722.54657603607,697.777330118062
"Ondo","Akure North",52735.299629239,51553.6877754373,4994.25878027418,399.525588913747
"Ondo","Akure South",145289.95470368,142034.519844616,13759.5810977847,1100.72484890283
"Ondo","Ese Odo",63821.9521899961,62391.9275998134,6044.21227034046,483.51869077455
"Ondo","Idanre",52344.115133079,51171.2683425449,4957.21193274719,396.561953221885
"Ondo","Ifedore",71127.8267595162,69534.1033176264,6736.10988868976,538.868406438232
"Ondo","Ilaje",116886.734018578,114267.715041924,11069.6744263152,885.540455317422
"Ondo","Ile Oluji Okeigbo",69314.6664556654,67761.5695338283,6564.39584077088,525.131802241726
"Ondo","Irele",58127.596431461,56825.1622467818,5504.9323867518,440.377932043528
"Ondo","Odigbo",93677.3949067184,91578.4152662639,8871.6505891756,709.705199954175
"Ondo","Okitipupa",94423.8717133083,92308.1661634637,8942.3451404874,715.360550124934
"Ondo","Ondo East",30686.6089503159,29999.0303996373,2906.1533216734,232.4834712012
"Ondo","Ondo West",116495.549522418,113885.295609032,11032.6275787882,882.57681962556
"Ondo","Ose",58128.8062804182,56826.3449872959,5505.04696463075,440.387097927111
"Ondo","Owo",89634.4829747556,87626.090714979,8488.76951035291,679.075872314054
"Osun","Aiyedade",74677.6300774907,64260.0202058042,6225.20409389157,498.000569384844
"Osun","Aiyedire",38099.975754222,32784.9880783098,3176.05318749722,254.07621531994
"Osun","Atakumosa East",37998.1215161392,32697.3426162021,3167.5625133926,253.396982884378
"Osun","Atakumosa West",34126.16261255,29365.5261522556,2844.79203456257,227.576161620751
"Osun","Boluwaduro",35426.3020045482,30484.2946979831,2953.17299225095,236.246363886449
"Osun","Boripe",69271.8661768897,59608.3661948244,5774.57405207432,461.951306738643
"Osun","Ede North",41849.110429535,36011.1144261852,3488.58491225992,279.077962175978
"Osun","Ede South",37690.5616599676,32432.6876914063,3141.92400727277,251.345967294643
"Osun","Egbedore",36931.6477291545,31779.6430717805,3078.66016100305,246.285019735557
"Osun","Ejigbo",66162.8154879599,56933.0314274492,5515.40038712595,441.218069600202
"Osun","Ife Central",83482.5295313651,71836.6266973189,6959.18957347476,556.717549782532
"Osun","Ife East",94172.2316752524,81035.1038724439,7850.29414494491,628.003659808871
"Osun","Ife North",76527.4827838476,65851.8164661423,6379.409719174,510.336629060117
"Osun","Ife South",67148.9043125362,57781.5597983447,5597.60176632509,447.793971856252
"Osun","Ifedayo",18727.199813775,16114.7352585048,1561.11864860823,124.885540161977
"Osun","Ifelodun",48153.0889100917,41435.6811152618,4014.09104581349,321.117122624019
"Osun","Ila",30982.6612254452,26660.5465962263,2582.74652396116,206.613184099694
"Osun","Ilesha East",52632.6782438123,45290.3629095271,4387.51422261079,350.990031505678
"Osun","Ilesha West",53328.182918564,45888.8439326448,4445.49220804087,355.628123577919
"Osun","Irepodun",59709.5506486445,51380.0039875384,4977.4495890759,398.183367494157
"Osun","Irewole",71300.9623708531,61354.4012830873,5943.72159894283,475.482682317673
"Osun","Isokan",50957.0761702538,43848.5091309321,4247.8343093995,339.815992026538
"Osun","Iwo",95537.2781797544,82209.7249185341,7964.08582632741,637.106706273701
"Osun","Obokun",58341.5084312577,50202.8051337391,4863.40818198443,389.060343604751
"Osun","Odo Otin",65944.6277328511,56745.2810993067,5497.21203132341,439.763047176965
